Track,Matcher Name 1,Matcher Name 2,Alpha,Significantly Different,Not Significantly Different,Cannot be Determined
anatomy_track,webIsClassic_syn,wordnet_syn,0.05,1,0,0
anatomy_track,wordnet_syn,wiktionary_syn,0.05,0,1,0
anatomy_track,wiktionary_syn,wordnet_syn,0.05,0,1,0
SAP_FS,wikidata_syn,COMBINED_Syn,0.05,1,4,0
SAP_FS,COMBINED_Syn,wikidata_syn,0.05,1,4,0
SAP_FS,wikidata_syn,wikidata_syn,0.05,0,5,0
largebio,wikidata_syn,dbpedia_syn,0.05,1,0,0
largebio,dbpedia_syn,wikidata_syn,0.05,1,0,0
largebio,dbpedia_syn,COMBINED_Syn,0.05,1,0,0
largebio,COMBINED_Syn,dbpedia_syn,0.05,1,0,0
largebio,wiktionary_syn,dbpedia_syn,0.05,1,0,0
largebio,dbpedia_syn,wiktionary_syn,0.05,1,0,0
conference,webIsClassic_syn,webIsClassic_syn,0.05,0,21,0
SAP_FS,dbpedia_syn,dbpedia_syn,0.05,0,5,0
largebio,webIsClassic_syn,webIsClassic_syn,0.05,0,1,0
