Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
conference,confof-sigkdd,COMBINED_Emb,CLASSES,0.05154639175257732,0.8333333333333334,0.5,0.0970873786407767,5,92,1,97,-,-,-,-,-
conference,confof-sigkdd,COMBINED_Emb,PROPERTIES,0.021739130434782608,1.0,1.0,0.042553191489361694,1,45,0,46,-,-,-,-,-
conference,confof-sigkdd,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,cmt-conference,COMBINED_Emb,ALL,0.03932584269662921,0.4666666666666667,0.2,0.07253886010362695,7,171,8,178,0,00:00:00,-,-,-
conference,cmt-conference,COMBINED_Emb,CLASSES,0.07792207792207792,0.5,0.25,0.1348314606741573,6,71,6,77,-,-,-,-,-
conference,cmt-conference,COMBINED_Emb,PROPERTIES,0.009900990099009901,0.3333333333333333,0.0,0.019230769230769232,1,100,2,101,-,-,-,-,-
conference,cmt-conference,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,cmt-confof,COMBINED_Emb,ALL,0.05511811023622047,0.4375,0.1,0.09790209790209789,7,120,9,127,0,00:00:00,-,-,-
conference,cmt-confof,COMBINED_Emb,CLASSES,0.07352941176470588,0.5,0.16666666666666666,0.12820512820512822,5,63,5,68,-,-,-,-,-
conference,cmt-confof,COMBINED_Emb,PROPERTIES,0.03389830508474576,0.3333333333333333,0.0,0.061538461538461535,2,57,4,59,-,-,-,-,-
conference,cmt-confof,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,conference-sigkdd,COMBINED_Emb,ALL,0.059602649006622516,0.6,0.14285714285714285,0.10843373493975905,9,142,6,151,0,00:00:00,-,-,-
conference,conference-sigkdd,COMBINED_Emb,CLASSES,0.0761904761904762,0.6666666666666666,0.0,0.13675213675213674,8,97,4,105,-,-,-,-,-
conference,conference-sigkdd,COMBINED_Emb,PROPERTIES,0.021739130434782608,0.3333333333333333,0.3333333333333333,0.04081632653061224,1,45,2,46,-,-,-,-,-
conference,conference-sigkdd,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,conference-confof,COMBINED_Emb,ALL,0.07194244604316546,0.6666666666666666,0.16666666666666666,0.12987012987012986,10,129,5,139,0,00:00:00,-,-,-
conference,conference-confof,COMBINED_Emb,CLASSES,0.08860759493670886,0.6363636363636364,0.0,0.15555555555555556,7,72,4,79,-,-,-,-,-
conference,conference-confof,COMBINED_Emb,PROPERTIES,0.05,0.75,0.5,0.09375000000000001,3,57,1,60,-,-,-,-,-
conference,conference-confof,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,confof-ekaw,COMBINED_Emb,ALL,0.08527131782945736,0.55,0.1,0.14765100671140938,11,118,9,129,0,00:00:00,-,-,-
conference,confof-ekaw,COMBINED_Emb,CLASSES,0.12359550561797752,0.55,0.1,0.2018348623853211,11,78,9,89,-,-,-,-,-
conference,confof-ekaw,COMBINED_Emb,PROPERTIES,0.0,0.0,0.0,0.0,0,40,0,40,-,-,-,-,-
conference,confof-ekaw,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,confof-edas,COMBINED_Emb,ALL,0.09316770186335403,0.7894736842105263,0.5,0.16666666666666666,15,146,4,161,0,00:00:00,-,-,-
conference,confof-edas,COMBINED_Emb,CLASSES,0.12371134020618557,0.8571428571428571,0.6,0.21621621621621623,12,85,2,97,-,-,-,-,-
conference,confof-edas,COMBINED_Emb,PROPERTIES,0.046875,0.6,0.3333333333333333,0.08695652173913043,3,61,2,64,-,-,-,-,-
conference,confof-edas,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,edas-ekaw,COMBINED_Emb,ALL,0.06060606060606061,0.6086956521739131,0.3076923076923077,0.11023622047244097,14,217,9,231,0,00:00:00,-,-,-
conference,edas-ekaw,COMBINED_Emb,CLASSES,0.0755813953488372,0.6842105263157895,0.4,0.13612565445026178,13,159,6,172,-,-,-,-,-
conference,edas-ekaw,COMBINED_Emb,PROPERTIES,0.01694915254237288,0.25,0.0,0.031746031746031744,1,58,3,59,-,-,-,-,-
conference,edas-ekaw,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,cmt-ekaw,COMBINED_Emb,ALL,0.037267080745341616,0.5454545454545454,0.16666666666666666,0.06976744186046512,6,155,5,161,0,00:00:00,-,-,-
conference,cmt-ekaw,COMBINED_Emb,CLASSES,0.07228915662650602,0.75,0.3333333333333333,0.13186813186813184,6,77,2,83,-,-,-,-,-
conference,cmt-ekaw,COMBINED_Emb,PROPERTIES,0.0,0.0,0.0,0.0,0,78,3,78,-,-,-,-,-
conference,cmt-ekaw,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,cmt-edas,COMBINED_Emb,ALL,0.04790419161676647,0.6153846153846154,0.0,0.08888888888888889,8,159,5,167,0,00:00:00,-,-,-
conference,cmt-edas,COMBINED_Emb,CLASSES,0.10810810810810811,1.0,0.0,0.1951219512195122,8,66,0,74,-,-,-,-,-
conference,cmt-edas,COMBINED_Emb,PROPERTIES,0.0,0.0,0.0,0.0,0,93,5,93,-,-,-,-,-
conference,cmt-edas,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,iasted-sigkdd,COMBINED_Emb,ALL,0.06547619047619048,0.7333333333333333,0.0,0.12021857923497267,11,157,4,168,0,00:00:00,-,-,-
conference,iasted-sigkdd,COMBINED_Emb,CLASSES,0.09322033898305085,0.7333333333333333,0.0,0.16541353383458648,11,107,4,118,-,-,-,-,-
conference,iasted-sigkdd,COMBINED_Emb,PROPERTIES,0.0,0.0,0.0,0.0,0,50,0,50,-,-,-,-,-
conference,iasted-sigkdd,COMBINED_Emb,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-
conference,conference-iasted,COMBINED_Emb,ALL,0.028925619834710745,0.5,0.3,0.0546875,7,235,7,242,0,00:00:00,-,-,-
conference,conference-iasted,COMBINED_Emb,CLASSES,0.03428571428571429,0.46153846153846156,0.2222222222222222,0.06382978723404255,6,169,7,175,-,-,-,-,-
conference,conference-iasted,COMBINED_Emb,PROPERTIES,0.014925373134328358,1.0,1.0,0.029411764705882353,1,66,0,67,-,-,-,-,-
