Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
anatomy_track,wiktionary_syn,CLASSES,0.9694519317160827,0.7117414248021108,0.06772009029345373,0.8208444275389881,0.9694519317160827,0.7117414248021108,0.06772009029345373,0.8208444275389881,1079,30,34,437,1113,-,-,0.5,SYNONYMY,Wiktionary
anatomy_track,wiktionary_syn,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-,0.5,SYNONYMY,Wiktionary
anatomy_track,wiktionary_syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,0.5,SYNONYMY,Wiktionary
largebio,COMBINED_Syn,ALL,0.8290155440414507,0.4765450483991065,0.2884713052310818,0.6052009456264774,0.8290155440414507,0.4765450483991065,0.2884713052310818,0.6052009456264774,1280,568,264,1406,1681,0,00:00:00,-,-,-
largebio,COMBINED_Syn,CLASSES,0.8290155440414507,0.4765450483991065,0.2884713052310818,0.6052009456264774,0.8290155440414507,0.4765450483991065,0.2884713052310818,0.6052009456264774,1280,568,264,1406,1681,-,-,-,-,-
largebio,COMBINED_Syn,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,-,-,-
largebio,COMBINED_Syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,-,-,-
SAP_FS,COMBINED_Syn,ALL,0.3760101777654969,0.1777831676457184,0.03921597958765444,0.2414195873752943,0.7747349823321554,0.5140679953106683,0.02911275415896488,0.6180408738548274,2631,63,765,2487,3396,0,00:00:00,-,-,-
SAP_FS,COMBINED_Syn,CLASSES,0.5985576923076923,0.16769773008232727,0.043859649122807015,0.2619929683766072,0.9881235154394299,0.5591397849462365,0.00906344410876133,0.7141630901287553,416,3,5,328,421,-,-,-,-,-
SAP_FS,COMBINED_Syn,PROPERTIES,0.3470912959691665,0.17990486331812267,0.03507810295248646,0.23697862331555347,0.7445378151260504,0.5064014631915866,0.03273322422258593,0.6028031024629201,2215,60,760,2159,2975,-,-,-,-,-
SAP_FS,COMBINED_Syn,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-,-,-,-
conference,COMBINED_Syn,ALL,0.5116923054606939,0.6114814835323749,0.17467948717948717,0.557153974071482,0.49577464788732395,0.5770491803278689,0.16339869281045752,0.5333333333333333,176,25,179,129,355,0,00:00:00,-,-,-
