Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS),http://a.com/matcherThreshold,http://a.com/matcherStrategy,http://a.com/backgroundDataset
conference,ekaw-iasted,babelnet_syn,ALL,0.6363636363636364,0.7,0.25,0.6666666666666666,7,4,3,11,1440956157,00:00:01,0.5,SYNONYMY,BabelNet Symbolic
conference,ekaw-iasted,babelnet_syn,CLASSES,0.7777777777777778,0.7,0.25,0.7368421052631577,7,2,3,9,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,ekaw-iasted,babelnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,2,0,2,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,ekaw-iasted,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,edas-iasted,babelnet_syn,ALL,0.75,0.47368421052631576,0.16666666666666666,0.5806451612903226,9,3,10,12,1922697389,00:00:01,0.5,SYNONYMY,BabelNet Symbolic
conference,edas-iasted,babelnet_syn,CLASSES,0.8181818181818182,0.47368421052631576,0.16666666666666666,0.6,9,2,10,11,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,edas-iasted,babelnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,1,0,1,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,edas-iasted,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-sigkdd,babelnet_syn,ALL,0.8181818181818182,0.75,0.25,0.7826086956521738,9,2,3,11,2738503694,00:00:02,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-sigkdd,babelnet_syn,CLASSES,1.0,0.8,0.0,0.888888888888889,8,0,2,8,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-sigkdd,babelnet_syn,PROPERTIES,0.3333333333333333,0.5,0.5,0.4,1,2,1,3,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-sigkdd,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
anatomy_track,mouse-human-suite,babelnet_syn,ALL,0.946843853820598,0.7519788918205804,0.2054176072234763,0.838235294117647,1140,64,376,1204,813550060154,00:13:33,0.5,SYNONYMY,BabelNet Symbolic
anatomy_track,mouse-human-suite,babelnet_syn,CLASSES,0.9484193011647255,0.7519788918205804,0.2054176072234763,0.8388520971302428,1140,62,376,1202,-,-,0.5,SYNONYMY,BabelNet Symbolic
anatomy_track,mouse-human-suite,babelnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,2,0,2,-,-,0.5,SYNONYMY,BabelNet Symbolic
anatomy_track,mouse-human-suite,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
largebio,small-fma-nci,babelnet_syn,ALL,0.9093406593406593,0.36969471332836934,0.14271203656678516,0.5256749602964531,993,99,1693,1196,1294600041528,00:21:34,0.5,SYNONYMY,BabelNet Symbolic
largebio,small-fma-nci,babelnet_syn,CLASSES,0.9093406593406593,0.36969471332836934,0.14271203656678516,0.5256749602964531,993,99,1693,1196,-,-,0.5,SYNONYMY,BabelNet Symbolic
largebio,small-fma-nci,babelnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
largebio,small-fma-nci,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,confof-sigkdd,babelnet_syn,ALL,0.8,0.5714285714285714,0.0,0.6666666666666666,4,1,3,5,244994299,00:00:00,0.5,SYNONYMY,BabelNet Symbolic
conference,confof-sigkdd,babelnet_syn,CLASSES,0.8,0.6666666666666666,0.0,0.7272727272727272,4,1,2,5,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,confof-sigkdd,babelnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,0,1,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,confof-sigkdd,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-conference,babelnet_syn,ALL,0.5,0.4,0.1,0.4444444444444445,6,6,9,12,13074787330,00:00:13,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-conference,babelnet_syn,CLASSES,0.625,0.4166666666666667,0.125,0.5,5,3,7,8,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-conference,babelnet_syn,PROPERTIES,0.25,0.3333333333333333,0.0,0.28571428571428575,1,3,2,4,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-conference,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-confof,babelnet_syn,ALL,0.75,0.375,0.0,0.5,6,2,10,8,4736296609,00:00:04,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-confof,babelnet_syn,CLASSES,0.8,0.4,0.0,0.5333333333333333,4,1,6,5,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-confof,babelnet_syn,PROPERTIES,0.6666666666666666,0.3333333333333333,0.0,0.4444444444444444,2,1,4,3,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,cmt-confof,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,conference-confof,babelnet_syn,ALL,0.75,0.6,0.0,0.6666666666666665,9,3,6,12,327607241,00:00:00,0.5,SYNONYMY,BabelNet Symbolic
conference,conference-confof,babelnet_syn,CLASSES,0.7777777777777778,0.6363636363636364,0.0,0.7000000000000001,7,2,4,9,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,conference-confof,babelnet_syn,PROPERTIES,0.6666666666666666,0.5,0.0,0.5714285714285715,2,1,2,3,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,conference-confof,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,conference-sigkdd,babelnet_syn,ALL,0.7272727272727273,0.5333333333333333,0.0,0.6153846153846153,8,3,7,11,932024313,00:00:00,0.5,SYNONYMY,BabelNet Symbolic
conference,conference-sigkdd,babelnet_syn,CLASSES,0.8,0.6666666666666666,0.0,0.7272727272727272,8,2,4,10,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,conference-sigkdd,babelnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,1,3,1,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,conference-sigkdd,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,confof-ekaw,babelnet_syn,ALL,0.8461538461538461,0.55,0.1,0.6666666666666667,11,2,9,13,220967397,00:00:00,0.5,SYNONYMY,BabelNet Symbolic
conference,confof-ekaw,babelnet_syn,CLASSES,0.9166666666666666,0.55,0.1,0.6874999999999999,11,1,9,12,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,confof-ekaw,babelnet_syn,PROPERTIES,0.0,0.0,0.0,0.0,0,1,0,1,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,confof-ekaw,babelnet_syn,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-,0.5,SYNONYMY,BabelNet Symbolic
conference,confof-edas,babelnet_syn,ALL,0.65,0.6842105263157895,0.25,0.6666666666666667,13,7,6,20,424083859,00:00:00,0.5,SYNONYMY,BabelNet Symbolic
conference,confof-edas,babelnet_syn,CLASSES,0.9090909090909091,0.7142857142857143,0.2,0.8,10,1,4,11,-,-,0.5,SYNONYMY,BabelNet Symbolic
